Paras,Sentiment_Label,Sentiment_Score
"First, we have economic strengths and an international reputation built up over many decades. We are highly connected to the global flows of trade, investment, capital and people. International trade and investments may shrink, but they will not disappear entirely. Some flows will be diverted or dry up, but other new channels will open up. There will still be overseas markets, and opportunities for international partnerships. Singapore is well placed to connect ourselves to the new channels and flows, and create new businesses and jobs to replace those lost. We just have to work harder and smarter at it.",POSITIVE,0.999333381652832
"Our strong, trusted international reputation will help us greatly. In a troubled world, investors will value the assurance of a government that plays by the rules. A people who understand what is at stake and a stable political system that enables businesses to continue operating even in a crisis. The way Singapore has responded to COVID-19 – openly and transparently, neither avoiding reality, nor acting arbitrarily at the first sign of trouble – has only strengthened this advantage.",POSITIVE,0.9855369925498962
"Second, we have had a head start preparing for the uncertainties ahead. For some time now, we have been working hard to transform and deepen our capabilities. Developing plans for ourFuture Economy, investing heavily to upgrade our workers through SkillsFuture, digitalising both the private and public sectors, building our innovation and R&D capabilities. All this has enabled us to stand out in Asia and the world. Nobody can predict what exactly the world will look like after COVID-19  but however things turn out, these Future Economy strategies will stand us in good stead. We need to pursue them even more vigorously now. For instance, we know that many businesses will no longer be viable. We will support these businesses to transform themselves, change their business models, or move into different and more promising fields.",POSITIVE,0.9932006597518921
"More immediately, we are systematically rebooting our economy, as countries emerge from lockdowns. We are rebuilding our transport and trade links. For example, Changi has already resumed transit flights. We are working out Reciprocal Green Lane arrangements for safe travel to China and other countries. We are making our supply chains more resilient. For example, we are diversifying our sources of food. We are even buying eggs from Poland, and shrimps from Saudi Arabia.",NEGATIVE,0.9751357436180115
"Next, we are working hard to retain and attract talent and investments to contribute to our recovery. At a time when some countries are closing their doors, we are keeping ours open. By making the most of our head start, our workers and industries will survive the crisis better, and bounce back faster and stronger.",POSITIVE,0.9979220628738403
"Third, we have programmes and plans to cope with the challenges before us. The government’s biggest priority now is jobs – helping Singaporeans to keep their jobs, or find new ones. We are particularly concerned about those in their 40s and 50s, who are often supporting children and elderly parents at the same time, and have financial commitments to meet. We are also concerned about mature workers nearing retirement, who want to work for a few more years, to build up their nest egg for old age. Lower income workers, who have not much savings to fall back on. The self-employed and freelancers, who have less job and income security in the gig economy and fresh graduates who are entering the job market in a very difficult year.",POSITIVE,0.9874553680419922
"We have schemes to help all these groups. The Job Support Scheme, the Workfare Special Payment, the Self-Employed Person Income Relief Scheme (SIRS), the COVID-19 Support Grant and the SGUnited Jobs and Skills Package. These schemes have enabled people to hold on to their jobs, and provided income support for millions of Singaporeans and their families.",POSITIVE,0.9971274137496948
"We have set up a National Jobs Council, to pull together and drive all our efforts on jobs, and look at how we can create new jobs for the economy. Senior Minister Tharman Shanmugaratnam is leading this. The Council will coordinate all the Government agencies involved, and bring in NTUC and the employer groups too, to maximise the impact of our efforts. So if you need a job, there are real options to pursue, and you will have help and support.",POSITIVE,0.9985178709030151
"Beyond COVID-19, and the economic challenges, we also have to deal with other important external and domestic issues. Externally, we have to navigate the changing strategic landscape. COVID-19 has worsened relations between the US and China. Actions and counter-actions are raising tensions day by day. It will become harder for countries to stay onside with both powers. It will be a more dangerous world for a small country like Singapore. We must ensure our security, and protect and advance our interests when dealing with other countries, big and small. We must also work with like-minded countries to support free trade and multilateralism, and enhance our voice and influence in the world.",NEGATIVE,0.6024512052536011
"Domestically, we have to strengthen our social compact. We have taken emergency measures to help everyone come through the crisis together. Beyond that, we have to think carefully how to improve our social safety nets. Sustainable social support will give people confidence to cope with the uncertainties and to make changes to their lives. At the same time, everyone must have the incentive to be self-reliant, and to progress through their own efforts. We have difficult decisions to make on priorities, resources, and budgets but the values guiding us remain the same: every Singaporean will have equal opportunities. Whatever your starting point in life, you will have access to good education, healthcare, and housing. If you fall down, we will help you to get up, stronger. You can be sure you will be taken care of. In Singapore, no one will be left to walk his journey alone.",POSITIVE,0.794968843460083
"In the next few weeks, several Ministers will address you, and share with you our plans. We have a full agenda for many years to come.",POSITIVE,0.9993588924407959
Our People are Our Strength,POSITIVE,0.9996684789657593
"For our plans to succeed, for our hopes and dreams to come true, we need one final ingredient: the unity and resilience of our people. Once in a while, nations and peoples are severely tested, as we are now. Some buckle under pressure and emerge from crisis diminished. Others grow more determined as they face fearful odds, discover reserves of strength in themselves, and emerge from crisis transfigured, renewed. And that has been our Singapore story: in crises, we have never failed to wrest opportunity from danger.",POSITIVE,0.9909107685089111
"Indeed, our nation was born in crisis. When we were granted independence, it was in the expectation that we would fail and come crawling back, after realising we could not survive alone. We proved otherwise. Two years later, the British suddenly announced that they were withdrawing their forces from Singapore. Again, many thought that would be the end of us. And again, we proved them wrong. The Pioneer Generation fought to master their destiny. And the Merdeka Generation put heart and soul into making Singapore succeed. Together, they weathered many storms, always looking ahead, never flinching at hard choices and challenges. And that is how we got here.",POSITIVE,0.9844651818275452
"Now, at another hinge in our history, it is our turn to face the crisis of a generation. The choices that we make now will define who we are as a people, and what values and ideals we pass on to future generations. Confronting adversity, do we yield to anger, fear and bitterness? Or will we be true to ourselves, stand firm, make tough choices, and continue to trust and depend on one another?",POSITIVE,0.9836629629135132
"Many Singaporeans have stepped up during this crisis. They have become more, not less, than themselves. Healthcare workers, public officers, grassroots leaders and volunteers, and many more working quietly behind the scenes. Some are taking good care of migrant workers in the dorms. Others are sewing masks, buying groceries for families under quarantine, or refurbishing computers for needy students to do Home-Based Learning. Abroad, Singaporeans have driven hundreds of kilometres to pick up fellow citizens to catch SQ flights home. These acts of solidarity and human kindness exemplify the best in us. They show how we can emerge stronger from this crisis, with a sharper consciousness of being Singaporean.",POSITIVE,0.9993605613708496
"This is why I believe we can continue to be exceptional – a fair and just society, where everyone can chase their dreams. My Cabinet team, with the support of the whole public service, will do our best to lead us towards this enduring vision of what Singapore can be. We need every one of you to work with us. Together, let us take Singapore safely through this crisis, and make the Singapore spirit flourish in the world.",POSITIVE,0.9997282028198242
